FORD
tid attemp_tp tp 50lat 99lat
5 5524.73 1603.94 178.582 1922.77
13 5518.91 1595.74 176.65 2116.53
10 5471.7 1559.22 175.471 1849.16
11 5467.29 1570.64 178.262 3067.84
15 5445.57 1570.28 176.217 2377.14
6 5439.64 1573.58 175.954 2343.71
9 5433.87 1542.13 174.521 2114.19
12 5418.48 1573.96 171.589 2380.51
14 5417.26 1553.45 179.098 2102.11
1 5401.27 1562.91 177.598 2203.06
8 5395.9 1560.5 178.733 2344.83
7 5374.13 1555.06 176.603 1946.69
3 5364.04 1555.36 176.584 2120.32
0 4229.22 2041.62 159.435 2441.55
4 4226.31 1306.18 191.953 3810.96
2 4042.8 1945.56 180.518 4056.52
83171.1 25670.1 159.435 191.953 176.735 1849.16 4056.52 2449.87

FORD
tid attemp_tp tp 50lat 99lat
4 1671.72 497.771 768.654 5128.9
2 1661.77 490.787 766.366 4964.35
14 1659.58 487.883 766.305 5228.13
10 1654.44 491.402 764.376 4814.28
8 1654.33 490.772 768.438 5137
6 1653.52 491.294 767.814 4974.51
0 1645.01 487.976 765.573 5186.58
12 1635.7 487.144 765.132 5110.46
15 1567.72 458.337 764.263 5476.67
1 1566.13 477.577 755.932 5427.54
5 1550.83 481.005 754.122 5215.5
3 1546.68 468.86 751.139 7834.89
11 1545.09 482.625 748.754 8305.22
13 1544.41 469.5 752.593 6995.26
9 1542.39 474.348 743.964 6167.78
7 1541.1 493.336 742.709 6245.02
25640.4 7730.62 742.709 768.654 759.133 4814.28 8305.22 5763.26

FORD
tid attemp_tp tp 50lat 99lat
5 5626.97 1721.18 189.312 2303.89
13 5571.21 1705.57 191.212 2448.07
9 5506.98 1647.58 186.191 1860.84
11 5507.25 1663.85 190.017 2660.89
4 5499.86 1670.2 192.999 2602.31
6 5486.34 1664.67 191.578 2090.55
15 5477.8 1651.67 189.144 2330.76
2 5451.96 1663.72 194.026 2259.26
14 5436.17 1632.05 193.634 1908.42
7 5427.78 1643.21 192.658 2326.57
10 5416.97 1651.09 192.851 1921.45
8 5357.19 1654.73 196.818 2498.42
0 5349.72 1655.53 193.146 2380.27
12 5295.29 1665.9 195.768 2158.28
1 4228.37 2428.86 162.504 2655.16
3 4173.06 1968.6 195.638 3728.57
84812.9 27688.4 162.504 196.818 190.469 1860.84 3728.57 2383.36

FORD
tid attemp_tp tp 50lat 99lat
13 5501.49 1662.55 193.979 2297.2
5 5482.7 1663.01 195.489 2192.32
11 5466.36 1664.94 193.454 3273.62
15 5426.11 1629.35 191.708 2465.32
7 5410.32 1632.51 192.248 2275.68
9 5397.79 1605.3 190.069 2223.93
10 5384.31 1627.25 193.801 2219.8
14 5376.86 1607.25 195.018 2285.54
2 5369.4 1636.81 196.781 2060.88
4 5367.5 1634.3 199.709 2577.72
8 5338.95 1629.13 198.984 2388.64
0 5309.86 1622.9 194.885 2113.81
12 5307.37 1638.17 195.624 2005.64
6 5288.75 1650.3 200.858 2075.83
1 4234.38 2413.68 168.965 2584.68
3 4189.11 1981.45 197.506 3668.06
83851.3 27298.9 168.965 200.858 193.692 2005.64 3668.06 2419.29

FORD
tid attemp_tp tp 50lat 99lat
5 5697.5 1655.12 158.916 2158.37
13 5679.32 1655.41 158.816 2346.97
11 5630.22 1630.96 157.247 3063.36
15 5574.74 1624.37 156.348 2313.78
9 5571.39 1603.45 156.371 2208.72
14 5538.83 1583.89 161.315 2402.47
7 5535.56 1610.3 157.611 2147.04
2 5527.34 1627.36 162.656 1907.5
10 5522.21 1595.7 159.256 2154.7
