FORD
tid attemp_tp tp 50lat 99lat
5 73688.7 48583.7 98.263 129.96
1 73615 48276 98.436 130.375
15 73508.5 48348.8 98.369 130.753
13 73514.4 48403.3 98.341 130.678
7 73439.2 48332.5 98.604 130.342
11 73408.4 48324.8 98.417 130.564
2 73453.1 48350.5 98.563 130.266
6 73410.3 48282.7 98.544 130.006
14 73447.5 48404.8 98.626 130.298
9 73419.1 48218 98.478 130.22
4 73386.9 48289.3 98.63 130.003
3 73422.7 48344.5 98.508 130.493
0 73331.7 48167.9 98.805 130.137
12 73417.2 48360.7 98.771 130.849
10 73418.4 48147 98.58 130.692
8 73417.7 48260.4 98.713 130.209
1.1753e+06 773095 98.263 98.805 98.5405 129.96 130.849 130.365

FORD
tid attemp_tp tp 50lat 99lat
13 92728.7 77447 75.926 113.466
1 92705.5 77198.7 75.728 113.371
15 92753.8 77212.9 75.882 113.799
2 92533.2 77166.3 76.038 113.282
7 92610.8 77240.2 75.879 113.879
4 92537.4 77327.9 75.973 113.404
10 92521.4 77225.7 76.036 113.23
8 92512.4 77094.3 76.128 113.5
11 92573.8 77089 76.028 114.415
3 92624.6 77204.5 75.82 114.486
5 92509.1 77145.2 76.018 113.873
9 92531.5 77171.3 76.021 113.969
6 92488 77175.7 76.026 113.701
12 92564.2 77254.1 76.127 113.633
14 92563.5 77071.1 76.158 114.226
0 92475.5 77215.2 76.267 114.112
1.48123e+06 1.23524e+06 75.728 76.267 76.0034 113.23 114.486 113.772

FORD
tid attemp_tp tp 50lat 99lat
15 76355.5 52961 93.911 126.441
7 76459.8 53115.1 93.722 126.879
8 76241.4 52790.3 93.957 126.143
13 76239.2 52804 93.894 126.98
6 76249.8 52896.8 94.042 126.218
10 76226 52903.1 93.946 126.005
5 76230.1 52734.5 93.941 126.532
9 76203.3 52963.6 93.972 126.691
3 76264.7 52743.9 93.824 126.153
12 76222.6 52710.2 94.146 126.559
1 76258.5 52846.4 94.005 127.052
11 76195.8 52942.3 93.98 126.904
14 76244.6 52943.5 94.1 126.424
2 76248.3 52876.6 94 126.291
4 76200.6 52948 94.161 126.474
0 76160 52842.1 94.348 126.354
1.22e+06 846021 93.722 94.348 93.9968 126.005 127.052 126.506

FORD
tid attemp_tp tp 50lat 99lat
6 48366.2 48363.3 145.316 146.526
15 48307.6 48304.7 145.277 146.433
12 48286.5 48283.6 145.277 146.508
4 48287.4 48284.5 145.269 146.47
8 48259.5 48256.6 145.314 146.508
9 48272.1 48269.2 145.275 146.416
7 48257.1 48254.2 145.323 146.451
13 48233.7 48230.8 145.253 146.39
5 48237.5 48234.6 145.302 146.439
14 48209 48206.1 145.314 146.511
11 48209.7 48206.8 145.275 146.447
2 48221.3 48218.5 145.267 146.43
3 48201.4 48198.5 145.279 146.438
0 48199.8 48196.9 145.254 146.783
10 48208 48205.1 145.274 146.449
1 48118.4 48115.6 145.341 146.939
771875 771829 145.253 145.341 145.288 146.39 146.939 146.509

FORD
tid attemp_tp tp 50lat 99lat
5 48172.7 37845.9 116.667 220.539
14 48142.5 37626.3 116.522 220.593
8 48093.9 37665.2 116.59 220.439
2 48049.7 37666.6 116.644 220.386
9 48049.7 37604.2 116.6 220.333
15 48029.4 37524 116.601 220.64
10 48013.8 37618.8 116.607 220.7
7 48051.2 37577.9 116.62 220.698
11 48009.9 37510.1 116.566 220.139
3 48008.8 37557.3 116.659 220.409
6 48014.7 37636.8 116.535 220.642
13 48002.1 37606.3 116.657 220.457
0 47991.7 37633.6 116.654 220.89
4 47984.9 37565.5 116.625 220.596
12 47995.2 37576.9 116.59 220.699
1 47879 37484.5 116.631 231.008
768489 601700 116.522 116.667 116.611 220.139 231.008 221.198

FORD
tid attemp_tp tp 50lat 99lat
3 48038 28227.6 148.873 176.405
14 48021.7 28313.1 148.899 176.568
9 48017.5 28334.2 148.888 176.546
5 47977.8 28261.3 148.89 176.517
4 47970.6 28232.1 148.895 176.435
7 47948 28111 148.882 176.429
10 47929.6 28183.5 148.884 176.488
15 47945.2 28097.8 148.876 176.435
6 47947.4 28196.9 148.917 176.553
11 47941.7 28098.1 148.887 176.239
12 47936 28174.9 148.907 176.623
13 47934.8 28217.3 148.886 176.412
2 47930.3 28111.1 148.91 176.444
8 47927.3 28177.4 148.894 176.318
0 47916.9 28285.3 148.915 176.431
1 47787.1 28021.9 148.921 187.603
767170 451044 148.873 148.921 148.895 176.239 187.603 177.153

FORD
tid attemp_tp tp 50lat 99lat
1 116194 116187 59.597 109.535
3 116071 116064 59.746 108.835
7 115862 115855 59.649 110.888
9 115716 115709 59.709 111.181
5 115625 115619 59.959 110.361
12 115656 115649 59.81 110.432
10 115647 115640 59.874 110.679
15 115541 115534 59.885 109.803
6 115600 115593 59.793 110.625
4 115690 115683 59.606 111.63
14 115688 115681 59.854 111.009
0 115581 115574 59.81 110.784
8 115658 115651 59.756 112.072
11 115636 115629 59.972 111.334
13 115627 115620 60.028 111.543
2 115562 115555 60.132 111.536
1.85135e+06 1.85124e+06 59.597 60.132 59.8238 108.835 112.072 110.765

FORD
tid attemp_tp tp 50lat 99lat
11 91979.6 76678.8 76.561 114.071
3 91924.2 76719 76.516 112.877
13 91948.2 76579.1 76.536 114.694
9 91743.8 76534.5 76.462 114.813
7 91830 76660.6 76.571 114.482
1 91791.4 76601.7 76.455 115.061
6 91780.6 76465.2 76.616 113.929
5 91737.9 76643.3 76.598 114.83
15 91641.4 76488.5 76.648 113.496
4 91638.5 76248.7 76.711 113.944
8 91712 76401.6 76.569 114.239
2 91620.3 76578.1 76.776 113.544
14 91679.2 76503.5 76.707 114.552
10 91663.9 76325.8 76.79 114.166
12 91647.7 76451.6 76.86 114.376
0 91553.3 76406.7 76.912 114.301
1.46789e+06 1.22429e+06 76.455 76.912 76.643 112.877 115.061 114.211

FORD
tid attemp_tp tp 50lat 99lat
13 76968.2 53348.2 93.271 125.56
5 76958.4 53290.6 93.179 125.278
11 76928.6 53493.9 93.112 125.223
9 76841.5 53195.8 93.303 125.96
15 76800 53081.9 93.206 126.08
8 76778.9 53237.7 93.39 124.665
1 76827.4 53214.5 93.349 125.892
3 76784.5 53202.4 93.321 125.598
7 76801.5 53390.1 93.397 126.254
2 76718 53243.8 93.582 125.313
6 76795.6 53272.4 93.419 125.102
4 76713.4 53032 93.532 125.393
14 76713.8 53172.7 93.489 125.503
10 76737 53273.9 93.477 125.16
12 76722.5 53308.3 93.614 126.196
0 76705.4 53240.5 93.756 125.786
1.22879e+06 851999 93.112 93.756 93.3998 124.665 126.254 125.56

FORD
tid attemp_tp tp 50lat 99lat
15 115865 115858 59.696 111.176
10 115966 115959 59.453 112.286
2 115882 115875 59.524 111.416
11 115686 115679 59.756 110.466
1 115657 115650 59.776 111.086
3 115591 115584 59.701 111.389
0 115569 115562 59.792 110.821
9 115544 115537 59.726 110.752
4 115667 115660 59.611 111.16
7 115659 115652 59.638 111.584
5 115673 115666 59.753 111.881
8 115602 115595 59.714 111.702
12 115648 115641 59.772 110.435
13 115581 115574 60.052 111.459
14 115555 115548 59.895 111.295
6 115536 115530 59.909 111.362
1.85068e+06 1.85057e+06 59.453 60.052 59.7355 110.435 112.286 111.267

FORD
tid attemp_tp tp 50lat 99lat
5 55850.5 52830.1 86.464 311.149
15 55728.1 52740 86.692 310.879
2 55605.4 52618.2 86.558 310.502
6 55568 52548.5 86.568 310.967
9 55549.7 52502.2 86.932 311.205
13 55475.4 52524.7 86.733 310.973
7 55475.9 52567.9 86.818 311.553
3 55437.7 52429.1 87.069 310.92
11 55421.2 52462.8 86.919 312.57
8 55420.1 52478.4 87.024 311.052
12 55425.2 52436.1 86.968 311.097
10 55381.7 52378.9 86.93 311.499
14 55379.8 52455.7 86.975 312.108
4 55402.1 52450.3 86.968 310.859
0 55373.9 52412 87.056 311.128
1 54915.5 52116.4 85.809 332.51
887410 839951 85.809 87.069 86.7802 310.502 332.51 312.561

FORD
tid attemp_tp tp 50lat 99lat
5 50742.2 45474.7 158.775 302.261
2 50157.9 44904.9 160.884 302.497
11 49915.2 44652.7 160.884 302.81
9 49888.4 44704 161.12 303.33
15 49908.8 44616 162.014 305.177
3 49765.9 44458.4 162.048 307.204
10 49705.5 44489.4 161.148 309.548
14 49745.5 44458.1 161.84 305.751
8 49691.7 44585.8 161.838 309.124
13 49654.7 44437.5 161.226 310.67
12 49551.7 44294.3 161.755 307.068
7 49449.9 44291.7 161.591 311.555
0 49431.8 44285.5 161.934 309.444
4 49394.4 44230.7 161.331 309.485
6 49361.4 44253.9 161.386 309.867
1 48976.3 44017 164.144 421.34
795341 712155 158.775 164.144 161.495 302.261 421.34 314.196

FORD
tid attemp_tp tp 50lat 99lat
2 115811 115804 59.744 110.379
6 115700 115693 59.77 110.323
5 115585 115578 59.86 110.256
8 115660 115653 59.662 111.105
7 115530 115523 59.87 110.722
0 115529 115522 59.875 110.557
15 115757 115750 59.73 111.583
14 115446 115439 59.917 111.474
12 115556 115549 59.767 110.644
11 115562 115555 59.881 110.971
9 115407 115400 59.848 110.41
1 115506 115500 59.936 111.519
3 115466 115459 59.986 111.64
4 115503 115496 59.853 110.874
13 115484 115477 59.915 111.246
10 115558 115551 59.877 110.109
1.84906e+06 1.84895e+06 59.662 59.986 59.8432 110.109 111.64 110.863

FORD
tid attemp_tp tp 50lat 99lat
5 49857 49854 139.908 146.278
10 49859.2 49856.2 139.889 146.165
3 49820.5 49817.5 139.911 146.27
12 49805.9 49802.9 139.888 146.214
8 49789.4 49786.4 139.852 146.074
4 49805.6 49802.6 139.871 146.102
6 49801.3 49798.3 139.886 146.11
2 49808.6 49805.6 139.891 146.155
14 49812 49809.1 139.876 146.053
13 49753.5 49750.5 139.866 146.169
7 49797.4 49794.5 139.879 146.238
15 49759.1 49756.1 139.903 146.246
11 49785.4 49782.4 139.898 146.285
9 49789.9 49787 139.873 146.229
1 49788.9 49785.9 139.935 146.257
0 46724.1 46721.3 76.237 451.519
793758 793710 76.237 139.935 135.91 146.053 451.519 165.273

FORD
tid attemp_tp tp 50lat 99lat
13 47715.4 44084.2 77.388 298.087
7 47684.6 44084.4 77.257 298.349
2 47599.3 44046 77.097 298.78
15 47594 44055.4 77.46 298.352
5 47527.5 44014.3 77.752 298.624
10 47536.5 43998.8 77.616 299.209
11 47540.5 43911.8 77.856 299.148
3 47537.1 43952.3 77.455 298.307
9 47535 43991.2 77.694 298.187
6 47516.8 43918.9 77.526 299.816
12 47491.5 43907.8 77.653 299.22
4 47468.5 43950.1 77.855 298.98
8 47486.4 43859.4 77.483 299.327
14 47469.9 43952.9 77.684 298.893
0 47457.5 43883.5 76.893 300.561
1 45354.5 42139.7 81.622 667.909
758515 701751 76.893 81.622 77.7682 298.087 667.909 321.984

FORD
tid attemp_tp tp 50lat 99lat
9 43191.7 36888.3 182.786 247.869
7 43104.2 36922.6 183.065 247.871
3 43101 36896.2 182.949 247.318
11 43032.1 36807.5 183.55 247.665
15 43034.8 36828.8 183.26 247.553
13 43006.9 36877.1 182.965 247.614
5 43004 36852.2 182.874 248.646
4 43008.7 36774.6 183.258 248.88
2 42995.8 36722.8 183.395 248.981
14 42912 36710.8 185.018 248.167
6 42922.8 36832.5 184.549 248.571
12 42931.2 36772.7 184.871 248.789
10 42892.3 36818.7 184.424 248.574
8 42919.7 36853 184.705 248.437
0 42875.8 36770.7 184.06 249.715
1 39737 34316.1 184.505 691.919
684670 586645 182.786 185.018 183.765 247.318 691.919 276.036

